vendor_guid,outcome_group_vendor_guid,parent_outcome_group_vendor_guid,title,description,calculation_method,calculation_int,mastery_points,0,1
Music P4,Stage 6-Preliminary Music,NSW Music Continuum,Music P4,recognises and identifies the concepts of music and discusses their use in a variety of musical styles,decaying_average,65,1,Not Yet Achieved,Achieved
Music P5,Stage 6-Preliminary Music,NSW Music Continuum,Music P5,comments on and constructively discusses performances and compositions,decaying_average,65,1,Not Yet Achieved,Achieved
Music P6,Stage 6-Preliminary Music,NSW Music Continuum,Music P6,observes and discusses concepts of music in works representative of the topics studied,decaying_average,65,1,Not Yet Achieved,Achieved
Music P7,Stage 6-Preliminary Music,NSW Music Continuum,Music P7,"understands the capabilities of performing media, explores and uses current technologies as appropriate to the topics studied",decaying_average,65,1,Not Yet Achieved,Achieved
Music P8,Stage 6-Preliminary Music,NSW Music Continuum,Music P8,"identifies, recognises, experiments with and discusses the use of technology in music ",decaying_average,65,1,Not Yet Achieved,Achieved
Music P9,Stage 6-Preliminary Music,NSW Music Continuum,Music P9,"performs as a means of self,expression and communication",decaying_average,65,1,Not Yet Achieved,Achieved
Music P10,Stage 6-Preliminary Music,NSW Music Continuum,Music P10,"demonstrates a willingness to participate in performance, composition, musicology and aural activities",decaying_average,65,1,Not Yet Achieved,Achieved
Music P11,Stage 6-Preliminary Music,NSW Music Continuum,Music P11,demonstrates a willingness to accept and use constructive criticism,decaying_average,65,1,Not Yet Achieved,Achieved
Music H1,Stage 6-HSC Music,NSW Music Continuum,Music H1,"performs stylistically, music that is characteristic of topics studied, both as a soloist and as a member of an ensemble",decaying_average,65,1,Not Yet Achieved,Achieved
Music H2,Stage 6-HSC Music,NSW Music Continuum,Music H2,"reads, interprets, discusses and analyses simple musical scores that are characteristic of the topics studied",decaying_average,65,1,Not Yet Achieved,Achieved
Music H3,Stage 6-HSC Music,NSW Music Continuum,Music H3,improvises and composes music using the range of concepts for familiar sound sources reflecting the cultural and historical contexts studied,decaying_average,65,1,Not Yet Achieved,Achieved
Music H4,Stage 6-HSC Music,NSW Music Continuum,Music H4,articulates an aural understanding of musical concepts and their relationships in a wide variety of musical styles,decaying_average,65,1,Not Yet Achieved,Achieved
Music H5,Stage 6-HSC Music,NSW Music Continuum,Music H5,critically evaluates and discusses performances and compositions,decaying_average,65,1,Not Yet Achieved,Achieved
Music H6,Stage 6-HSC Music,NSW Music Continuum,Music H6,critically evaluates and discusses the use of the concepts of music in works representative of the topics studied and through wide listening,decaying_average,65,1,Not Yet Achieved,Achieved
Music H7,Stage 6-HSC Music,NSW Music Continuum,Music H7,"understands the capabilities of performing media, incorporates technologies into composition and performance as appropriate top the topics studied",decaying_average,65,1,Not Yet Achieved,Achieved
Music H8,Stage 6-HSC Music,NSW Music Continuum,Music H8,"identifies, recognises, experiments with, and discusses the use and effects of tehchnology in music",decaying_average,65,1,Not Yet Achieved,Achieved
Music H9,Stage 6-HSC Music,NSW Music Continuum,Music H9,"performs as a means of self,expression and communication",decaying_average,65,1,Not Yet Achieved,Achieved
Music H10,Stage 6-HSC Music,NSW Music Continuum,Music H10,"demonstrates a willingness to participate in performance, composition, musicology and aural activities",decaying_average,65,1,Not Yet Achieved,Achieved
Music H11,Stage 6-HSC Music,NSW Music Continuum,Music H11,demonstrates a willingness to accept and use constructive criticism,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P4.1,Stage 4-Dance Performance,NSW Dance Continuum,Dance P4.1,"demonstrates an understanding of safe dance practice and appropriate dance technique in the performance of combinations, sequences and dances",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P4.1,Stage 4-Dance Performance,NSW Dance Continuum,Dance P4.1,demonstrates aspects of the elements of dance in dance performance,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P4.1,Stage 4-Dance Performance,NSW Dance Continuum,Dance P4.1,"demonstrates an understanding of aspects of performance quality through the performance of locomotor and non,locomotor combinations, sequences and dances",decaying_average,65,1,Not Yet Achieved,Achieved
Dance C4.2,Stage 4-Dance Composition,NSW Dance Continuum,Dance C4.2,identifies and explores aspects of the elements of dance in response to a range of stimuli,decaying_average,65,1,Not Yet Achieved,Achieved
Dance C4.2,Stage 4-Dance Composition,NSW Dance Continuum,Dance C4.2,"composes dance movement, using the elements of dance, that communicates ideas",decaying_average,65,1,Not Yet Achieved,Achieved
Dance A4.3,Stage 4-Dance Appreciation,NSW Dance Continuum,Dance A4.3,describes dance performances through the elements of dance,decaying_average,65,1,Not Yet Achieved,Achieved
Dance A4.3,Stage 4-Dance Appreciation,NSW Dance Continuum,Dance A4.3,identifies that dance works of art express ideas,decaying_average,65,1,Not Yet Achieved,Achieved
Dance V4.4,Stage 4-Value and Appreciation,NSW Dance Continuum,Dance V4.4,"values and appreciates their involvement as a dance performer, composer and audience member and how their involvement contributes to lifelong learning",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P5.1,Stage 5-Dance Performance,NSW Dance Continuum,Dance P5.1,"demonstrates an understanding of safe dance practice and appropriate dance technique with increasing skill and complexity in the performance of combinations, sequences and dances",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P5.1,Stage 5-Dance Performance,NSW Dance Continuum,Dance P5.1,demonstrates enhanced dance techniques by manipulating aspects of the elements of dance,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P5.1,Stage 5-Dance Performance,NSW Dance Continuum,Dance P5.1,demonstrates an understanding and application of aspects of performance quality and interpretation through performance,decaying_average,65,1,Not Yet Achieved,Achieved
Dance C5.2,Stage 5-Dance Composition,NSW Dance Continuum,Dance C5.2,explores the elements of dance as the basis of the communication of ideas,decaying_average,65,1,Not Yet Achieved,Achieved
Dance C5.2,Stage 5-Dance Composition,NSW Dance Continuum,Dance C5.2,composes and structures dance movement that communicates an idea,decaying_average,65,1,Not Yet Achieved,Achieved
Dance A5.3,Stage 5-Dance Appreciation,NSW Dance Continuum,Dance A5.3,describes and analyses dance as the communication of ideas within a context,decaying_average,65,1,Not Yet Achieved,Achieved
Dance A5.3,Stage 5-Dance Appreciation,NSW Dance Continuum,Dance A5.3,identifies and analyses the link between their performances and compositions and dance works of art,decaying_average,65,1,Not Yet Achieved,Achieved
Dance A5.3,Stage 5-Dance Appreciation,NSW Dance Continuum,Dance A5.3,applies understandings and experiences drawn from their own work and dance works of art,decaying_average,65,1,Not Yet Achieved,Achieved
Dance V5.4,Stage 5-Value and Appreciation,NSW Dance Continuum,Dance V5.4,contributes to lifelong learning,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P1.1,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P1.1,understands dance as the performance and communication of ideas through movement and in written and oral form,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P1.2,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P1.2,understands the use of dance terminology relevant to the study of dance as an artform,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P1.3,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P1.3,"develops the skills of dance through performing, composing and appreciating dance",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P1.4,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P1.4,values the diversity of dance as an artform and its inherent expressive qualities,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P2.1,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P2.1,identifies the physiology of the human body as it is relevant to the dancer,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P2.2,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P2.2,identifies the body's capabilites and limitations,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P2.3,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P2.3,recognises the importance of the application of safe dance practice,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P2.4,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P2.4,"demonstrates appropriate skeletal alignment, body,part articulation, strength, flexibility, agility and coordination",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P2.5,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P2.5,"performs combinations, phrases and sequences with due consideration of safe dance practices",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P2.6,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P2.6,"values self,discipline, commitment and consistency in technical skills and performance",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P3.1,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P3.1,identifies the elements of dance composition,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P3.2,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P3.2,understands the compositional process,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P3.3,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P3.3,understands the function of structure as it relates to dance composition,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P3.4,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P3.4,explores the elements of dance relating to dance composition,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P3.5,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P3.5,"devises movement material in a personal style in response to creative problem,solving tasks in dance composition",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P3.6,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P3.6,structures movement devised in response to specific concept/intent,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P3.7,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P3.7,values their own and others' dance activities as worthwhile,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P4.1,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P4.1,"understand the socio,historic context in which dance exists",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P4.2,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P4.2,develops knowledge to critically appraise and evaluate dance ,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P4.3,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P4.3,"demonstrates the skills of gathering, classifying and recording information about dance",decaying_average,65,1,Not Yet Achieved,Achieved
Dance P4.4,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P4.4,develops skills in critical appraisal and evaluation ,decaying_average,65,1,Not Yet Achieved,Achieved
Dance P4.5,Stage 6-Preliminary Dance,NSW Dance Continuum,Dance P4.5,values the diversity of dance from national and international perspectives,decaying_average,65,1,Not Yet Achieved,Achieved
Dance H1.1,Stage 6-HSC Dance,NSW Dance Continuum,Dance H1.1,"understands dance from artistic, aesthetic and cultural perspectives through movement and in written and oral form",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H1.2,Stage 6-HSC Dance,NSW Dance Continuum,Dance H1.2,"performs, composes and appreciates dance as an artform",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H1.3,Stage 6-HSC Dance,NSW Dance Continuum,Dance H1.3,"appreciates and values dance as an artform through the interrelated experiences of performing, composing and appreciating dances",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H1.4,Stage 6-HSC Dance,NSW Dance Continuum,Dance H1.4,acknowledges and appreciates the relationship of dance and other media,decaying_average,65,1,Not Yet Achieved,Achieved
Dance H2.1,Stage 6-HSC Dance,NSW Dance Continuum,Dance H2.1,"understands performance quality, interpretaton and styles relating to dance performance",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H2.2,Stage 6-HSC Dance,NSW Dance Continuum,Dance H2.2,"performs dance skills with confidence, consistency, performance quality and with due consideration of safe dance practices",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H2.3,Stage 6-HSC Dance,NSW Dance Continuum,Dance H2.3,values the diversity of dance performance,decaying_average,65,1,Not Yet Achieved,Achieved
Dance H3.1,Stage 6-HSC Dance,NSW Dance Continuum,Dance H3.1,identifies and selects the appropriate elements of composition/choreography in response to a specific concept/intent ,decaying_average,65,1,Not Yet Achieved,Achieved
Dance H3.2,Stage 6-HSC Dance,NSW Dance Continuum,Dance H3.2,demonstrates the use of the elements of composition/choreography in a personal style in response to a specific/intent,decaying_average,65,1,Not Yet Achieved,Achieved
Dance H3.3,Stage 6-HSC Dance,NSW Dance Continuum,Dance H3.3,recognises and values the role of dance in achieving individual expression,decaying_average,65,1,Not Yet Achieved,Achieved
Dance H3.4,Stage 6-HSC Dance,NSW Dance Continuum,Dance H3.4,"explores, applies and demonstrates the combined use of compositional principles and technological skills in a personal style in response to a specific concept/intent",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H4.1,Stage 6-HSC Dance,NSW Dance Continuum,Dance H4.1,"understands the concept of differing artistic, social and cultural contexts of dance",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H4.2,Stage 6-HSC Dance,NSW Dance Continuum,Dance H4.2,"recognises, analyses and evaluates the distinguishing features of major dance works",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H4.3,Stage 6-HSC Dance,NSW Dance Continuum,Dance H4.3,utilises the skills of research and analysis to examine dance as an artform,decaying_average,65,1,Not Yet Achieved,Achieved
Dance H4.4,Stage 6-HSC Dance,NSW Dance Continuum,Dance H4.4,"demonstrates in written and oral form, the ability to analyse and synthesise information when making discriminating judgments about dance",decaying_average,65,1,Not Yet Achieved,Achieved
Dance H4.5,Stage 6-HSC Dance,NSW Dance Continuum,Dance H4.5,"acknowledges that the artform of dance is enhanced through reflective practice, study and evaluation",decaying_average,65,1,Not Yet Achieved,Achieved
ART A4.1,Stage 4-Artmaking,NSW Visual Arts Continuum,ART A4.1,uses a range of strategies to explore different artmaking conventions and procedures to make artworks,decaying_average,65,1,Not Yet Achieved,Achieved
ART A4.2,Stage 4-Artmaking,NSW Visual Arts Continuum,ART A4.2,"explores the function of and relationships between artist, artwork, world,  audience",decaying_average,65,1,Not Yet Achieved,Achieved
ART A4.3,Stage 4-Artmaking,NSW Visual Arts Continuum,ART A4.3,makes artworks that involve some understanding of the frames,decaying_average,65,1,Not Yet Achieved,Achieved
ART A4.4,Stage 4-Artmaking,NSW Visual Arts Continuum,ART A4.4,"recognises and uses aspects of the world as a source of ideas, concepts and subject matter in the visual arts",decaying_average,65,1,Not Yet Achieved,Achieved
ART A4.5,Stage 4-Artmaking,NSW Visual Arts Continuum,ART A4.5,investigates ways to develop meaning in their artworks,decaying_average,65,1,Not Yet Achieved,Achieved
ART A4.6,Stage 4-Artmaking,NSW Visual Arts Continuum,ART A4.6,selects different materials and techniques to make artworks,decaying_average,65,1,Not Yet Achieved,Achieved
ART CHS4.7,Stage 4-Critical and historical studies,NSW Visual Arts Continuum,ART CHS4.7,explores aspects of practice in critical and histrocial interpretations of art,decaying_average,65,1,Not Yet Achieved,Achieved
ART CHS4.8,Stage 4-Critical and historical studies,NSW Visual Arts Continuum,ART CHS4.8,"explores the function of and relationships between the artist, artwork,  world,  audience",decaying_average,65,1,Not Yet Achieved,Achieved
ART CHS4.9,Stage 4-Critical and historical studies,NSW Visual Arts Continuum,ART CHS4.9,begins to acknowledge that art can be interpreted from different points of view,decaying_average,65,1,Not Yet Achieved,Achieved
ART CHS4.10,Stage 4-Critical and historical studies,NSW Visual Arts Continuum,ART CHS4.10,recognises that art criticism and art history construct meanings,decaying_average,65,1,Not Yet Achieved,Achieved
ART A5.1,Stage 5-Artmaking,NSW Visual Arts Continuum,ART A5.1,develops range and autonomy in selecting and applying visual arts conventions and procedures to make artworks,decaying_average,65,1,Not Yet Achieved,Achieved
ART A5.2,Stage 5-Artmaking,NSW Visual Arts Continuum,ART A5.2,"makes artworks informed by their understanding of the function of and relationships between artist , artwork ,  world ,  audience",decaying_average,65,1,Not Yet Achieved,Achieved
ART A5.3,Stage 5-Artmaking,NSW Visual Arts Continuum,ART A5.3,makes artworks informed by an understanding of how the frames affect meaning,decaying_average,65,1,Not Yet Achieved,Achieved
ART A5.4,Stage 5-Artmaking,NSW Visual Arts Continuum,ART A5.4,"investigates the world as a source of ideas, concepts and subject matter in the visual arts",decaying_average,65,1,Not Yet Achieved,Achieved
ART A5.5,Stage 5-Artmaking,NSW Visual Arts Continuum,ART A5.5,makes informed choices to develop and extend concepts and different meanings in their artworks,decaying_average,65,1,Not Yet Achieved,Achieved
ART A5.6,Stage 5-Artmaking,NSW Visual Arts Continuum,ART A5.6,demonstrates developing technical accomplishment and refinement in making artworks,decaying_average,65,1,Not Yet Achieved,Achieved
ART CHS5.7,Stage 5-Artmaking,NSW Visual Arts Continuum,ART CHS5.7,applies their understanding of aspects of practice to critical and historical interpretations of art,decaying_average,65,1,Not Yet Achieved,Achieved
ART CHS5.8,Stage 5-Artmaking,NSW Visual Arts Continuum,ART CHS5.8,"uses their understanding of the function of and relationships between artist ,  artwork , world , audience in critical and historical interpretations of art",decaying_average,65,1,Not Yet Achieved,Achieved
ART CHS5.9,Stage 5-Artmaking,NSW Visual Arts Continuum,ART CHS5.9,demonstrates how the frames provide different interpretations of art,decaying_average,65,1,Not Yet Achieved,Achieved
ART CHS5.10,Stage 5-Artmaking,NSW Visual Arts Continuum,ART CHS5.10,demonstrates how art criticism and art history construct meanings,decaying_average,65,1,Not Yet Achieved,Achieved
ART P1,Stage 6-Preliminary Artmaking,NSW Visual Arts Continuum,ART P1,explores the conventions of practice in artmaking,decaying_average,65,1,Not Yet Achieved,Achieved
ART P2,Stage 6-Preliminary Artmaking,NSW Visual Arts Continuum,ART P2,"explores the roles and relationships between the concepts of artist, artwork, world and audience",decaying_average,65,1,Not Yet Achieved,Achieved
ART P3,Stage 6-Preliminary Artmaking,NSW Visual Arts Continuum,ART P3,identifies the frames as the basis of understanding expressive representation through the making of art,decaying_average,65,1,Not Yet Achieved,Achieved
ART P4,Stage 6-Preliminary Artmaking,NSW Visual Arts Continuum,ART P4,investigates subject matter and forms as representations in artmaking,decaying_average,65,1,Not Yet Achieved,Achieved
ART P5,Stage 6-Preliminary Artmaking,NSW Visual Arts Continuum,ART P5,investigates ways of developing coherence and layers of meaning in the making of art,decaying_average,65,1,Not Yet Achieved,Achieved
ART P6,Stage 6-Preliminary Artmaking,NSW Visual Arts Continuum,ART P6,explores a range of material techniques in ways that support artistic intentions,decaying_average,65,1,Not Yet Achieved,Achieved
ART P7,Stage 6-Preliminary Art Criticism and Art History,NSW Visual Arts Continuum,ART P7,explores the conventions of practice in art criticism and art history,decaying_average,65,1,Not Yet Achieved,Achieved
ART P8,Stage 6-Preliminary Art Criticism and Art History,NSW Visual Arts Continuum,ART P8,"explored the rols and relationships between concept of artist, artwork, world and audience through critical and historical investigations of art",decaying_average,65,1,Not Yet Achieved,Achieved
ART P9,Stage 6-Preliminary Art Criticism and Art History,NSW Visual Arts Continuum,ART P9,identifies the frames as the basis of exploring different orientations to critial and historical investigations of art,decaying_average,65,1,Not Yet Achieved,Achieved
ART P10,Stage 6-Preliminary Art Criticism and Art History,NSW Visual Arts Continuum,ART P10,"explores ways in which significant art histories, critical narratives and other documentary accounts of the visual arts can be constructed",decaying_average,65,1,Not Yet Achieved,Achieved
ART H1,Stage 6-HSC Artmaking,NSW Visual Arts Continuum,ART H1,"initiates and organises artmaking practice that is sustained, reflective and adapted to suit particular conditions",decaying_average,65,1,Not Yet Achieved,Achieved
ART H2,Stage 6-HSC Artmaking,NSW Visual Arts Continuum,ART H2,"applies their understanding of the relationships among the artists, artowkr, world and audience through the making of a body of work",decaying_average,65,1,Not Yet Achieved,Achieved
ART H3,Stage 6-HSC Artmaking,NSW Visual Arts Continuum,ART H3,demonstrates an understanding of the frames when working indepently in the making of art,decaying_average,65,1,Not Yet Achieved,Achieved
ART H4,Stage 6-HSC Artmaking,NSW Visual Arts Continuum,ART H4,selects and develops subject matter and forms in particular ways as representations in artmaking,decaying_average,65,1,Not Yet Achieved,Achieved
ART H5,Stage 6-HSC Artmaking,NSW Visual Arts Continuum,ART H5,demonstrates conceptual strength in the production of a body of work that exhibits coherence and may be interpreted in a range of ways,decaying_average,65,1,Not Yet Achieved,Achieved
ART H6,Stage 6-HSC Artmaking,NSW Visual Arts Continuum,ART H6,"demonstrates technical accomplishment, refinement and sensitivity appropriate to the artistic intentions within a body of work",decaying_average,65,1,Not Yet Achieved,Achieved
ART H7,Stage 6-HSC Art Criticism and Art History,NSW Visual Arts Continuum,ART H7,applies their understanding of practice in art criticiam and art history,decaying_average,65,1,Not Yet Achieved,Achieved
ART H8,Stage 6-HSC Art Criticism and Art History,NSW Visual Arts Continuum,ART H8,"applies their understanding of the relationships among the artist, artwork, world and audience",decaying_average,65,1,Not Yet Achieved,Achieved
ART H9,Stage 6-HSC Art Criticism and Art History,NSW Visual Arts Continuum,ART H9,demonstrates an understanding of how the frames provide for different orientations to critical and historical investigations of art,decaying_average,65,1,Not Yet Achieved,Achieved
ART H10,Stage 6-HSC Art Criticism and Art History,NSW Visual Arts Continuum,ART H10,"constructs a body of significant art histories, critical narratives and other documentary accounts of representation in the visual arts",decaying_average,65,1,Not Yet Achieved,Achieved
Drama MD4.1,Stage 4-Making Drama,NSW Drama Continuum,Drama MD4.1,"identifies and explores the elements of drama to develop belief and clarity in character, role, situation and action",decaying_average,65,1,Not Yet Achieved,Achieved
Drama MD4.1,Stage 4-Making Drama,NSW Drama Continuum,Drama MD4.1,"improvises and playbuilds through group,devised processes",decaying_average,65,1,Not Yet Achieved,Achieved
Drama MD4.1,Stage 4-Making Drama,NSW Drama Continuum,Drama MD4.1,devises and enacts drama using scripted and unscripted material,decaying_average,65,1,Not Yet Achieved,Achieved
Drama MD4.1,Stage 4-Making Drama,NSW Drama Continuum,Drama MD4.1,explores a range of ways to structure dramatic work in collaboration with others,decaying_average,65,1,Not Yet Achieved,Achieved
