vendor_guid,outcome_group_vendor_guid,parent_outcome_group_vendor_guid,title,description,calculation_method,calculation_int,mastery_points,0,1
PV1.3.1.3,Aspect 4- Place value,NSW Numeracy Continuum,PV1.3.1.3 - counts forwards or backwards firstly by tens and then by ones,counts forwards or backwards firstly by tens and then by ones,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.1.4,Aspect 4- Place value,NSW Numeracy Continuum,PV1.3.1.4 - counts forwards or backwards firstly by tens and then by ones,counts forwards or backwards firstly by tens and then by ones,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.2.1,Aspect 4- Place value,NSW Numeracy Continuum,PV1.3.2.1 - treats ten as an abstract composite unit,treats ten as an abstract composite unit,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.2.2,Aspect 4- Place value,NSW Numeracy Continuum,PV1.3.2.2 - treats ten as an abstract composite unit,treats ten as an abstract composite unit,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.2.3,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.3.2.3 - solves addition and subtraction problems mentally by separating the tens from the ones, then adding or subtracting each separately before combining.","solves addition and subtraction problems mentally by separating the tens from the ones, then adding or subtracting each separately before combining.",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.2.4,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.3.2.4 - uses non-standard decomposition of two-digit numbers, e.g. 76 = 60 +16","uses non-standard decomposition of two-digit numbers, e.g. 76 = 60 +16",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.2.5,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.3.2.5 - solves addition and subtraction problems mentally by separating the tens from the ones, then adding or subtracting each separately before combining.","solves addition and subtraction problems mentally by separating the tens from the ones, then adding or subtracting each separately before combining.",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.2.6,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.3.2.6 - uses non-standard decomposition of two-digit numbers, e.g. 76 = 60 +16","uses non-standard decomposition of two-digit numbers, e.g. 76 = 60 +16",decaying_average,65,1,Not Yet Achieved,Achieved
MD1.1.1.1,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.1.1.1 - uses pertpetual counting and sharing to form groups of specified sizes,uses pertpetual counting and sharing to form groups of specified sizes,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.1.1.2,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.1.1.2 - does not see the groups as composite units and counts each individual item,does not see the groups as composite units and counts each individual item,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.1.1.3,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.1.1.3 - uses pertpetual counting and sharing to form groups of specified sizes,uses pertpetual counting and sharing to form groups of specified sizes,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.1.1.4,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.1.1.4 - does not see the groups as composite units and counts each individual item,does not see the groups as composite units and counts each individual item,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.2.1.1,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,"MD1.2.1.1 - uses groupd or multiples in perceptual counting and sharing, e.g. rhythmic or skip counting","uses groupd or multiples in perceptual counting and sharing, e.g. rhythmic or skip counting",decaying_average,65,1,Not Yet Achieved,Achieved
MD1.2.1.2,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.2.1.2 - cannot deal with concealed items,cannot deal with concealed items,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.2.1.3,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,"MD1.2.1.3 - uses groupd or multiples in perceptual counting and sharing, e.g. rhythmic or skip counting","uses groupd or multiples in perceptual counting and sharing, e.g. rhythmic or skip counting",decaying_average,65,1,Not Yet Achieved,Achieved
MD1.2.1.4,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.2.1.4 - cannot deal with concealed items,cannot deal with concealed items,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.3.1.1,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.3.1.1 - uses equal grouping and counting without individual items visible ,uses equal grouping and counting without individual items visible ,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.3.1.2,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.3.1.2 - relies on perceptual markers to represent each group,relies on perceptual markers to represent each group,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.3.1.3,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.3.1.3 - uses equal grouping and counting without individual items visible ,uses equal grouping and counting without individual items visible ,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.3.1.4,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.3.1.4 - relies on perceptual markers to represent each group,relies on perceptual markers to represent each group,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.3.1.5,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.3.1.5 - needs to represent the groups before determining the total,needs to represent the groups before determining the total,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.1.1.1,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.1.1.1 - attempts to halve by splitting without attention to equality of the parts,attempts to halve by splitting without attention to equality of the parts,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.1.1.2,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.1.1.2 -  attempts to halve by splitting without attention to equality of the parts, attempts to halve by splitting without attention to equality of the parts,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.2.1.1,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.2.1.1 - forms halves and quarters by repeated halving,forms halves and quarters by repeated halving,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.2.1.2,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.2.1.2 - can use distribute dealing to share,can use distribute dealing to share,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.2.1.3,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.2.1.3 - can use distribute dealing to share,can use distribute dealing to share,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.2.1.4,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.2.1.4 - forms halves and quarters by repeated halving,forms halves and quarters by repeated halving,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.3.1.1,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.3.1.1 - verifies continuous and discrete linear arrangements have been partitioned into thirds or fifths by iterating one part to form the whole or checking the equality and number of parts forming the whole,verifies continuous and discrete linear arrangements have been partitioned into thirds or fifths by iterating one part to form the whole or checking the equality and number of parts forming the whole,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.3.1.2,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.3.1.2 - verifies continuous and discrete linear arrangements have been partitioned into thirds or fifths by iterating one part to form the whole or checking the equality and number of parts forming the whole,verifies continuous and discrete linear arrangements have been partitioned into thirds or fifths by iterating one part to form the whole or checking the equality and number of parts forming the whole,decaying_average,65,1,Not Yet Achieved,Achieved
US1.1.1.1,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.1.1.1 - attempts direct comparison without attending to alignment,attempts direct comparison without attending to alignment,decaying_average,65,1,Not Yet Achieved,Achieved
US1.1.1.2,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.1.1.2 - attempts direct comparison without attending to alignment,attempts direct comparison without attending to alignment,decaying_average,65,1,Not Yet Achieved,Achieved
US1.1.1.3,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.1.1.3 - may attempt to measure indirectly without attending to gaps of overlaps,may attempt to measure indirectly without attending to gaps of overlaps,decaying_average,65,1,Not Yet Achieved,Achieved
US1.1.1.4,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.1.1.4 - may attempt to measure indirectly without attending to gaps of overlaps,may attempt to measure indirectly without attending to gaps of overlaps,decaying_average,65,1,Not Yet Achieved,Achieved
US1.2.1.1,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.2.1.1 - directly compares the size of two objects (alignment),directly compares the size of two objects (alignment),decaying_average,65,1,Not Yet Achieved,Achieved
US1.2.1.2,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.2.1.2 - directly compares the size of two objects (alignment),directly compares the size of two objects (alignment),decaying_average,65,1,Not Yet Achieved,Achieved
US1.3.1.3,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.3.1.3 - directly compares the size of three or more objects (transitivity),directly compares the size of three or more objects (transitivity),decaying_average,65,1,Not Yet Achieved,Achieved
US1.3.1.4,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.3.1.4 - directly compares the size of three or more objects (transitivity),directly compares the size of three or more objects (transitivity),decaying_average,65,1,Not Yet Achieved,Achieved
US1.3.1.5,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.3.1.5 - uses indirect comparison by copying the size of one of the objects,uses indirect comparison by copying the size of one of the objects,decaying_average,65,1,Not Yet Achieved,Achieved
US1.3.1.6,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.3.1.6 - uses indirect comparison by copying the size of one of the objects,uses indirect comparison by copying the size of one of the objects,decaying_average,65,1,Not Yet Achieved,Achieved
US1.4.1.1,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.4.1.1 - uses multiple units of the same size to measure an object (without gaps and overlap),uses multiple units of the same size to measure an object (without gaps and overlap),decaying_average,65,1,Not Yet Achieved,Achieved
US1.4.1.2,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.4.1.2 - uses multiple units of the same size to measure an object (without gaps and overlap),uses multiple units of the same size to measure an object (without gaps and overlap),decaying_average,65,1,Not Yet Achieved,Achieved
US1.4.1.3,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.4.1.3 - chooses and uses a selection of the same size and type of units to measure an object (without gaps and overlap),chooses and uses a selection of the same size and type of units to measure an object (without gaps and overlap),decaying_average,65,1,Not Yet Achieved,Achieved
US1.4.1.4,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.4.1.4 - chooses and uses a selection of the same size and type of units to measure an object (without gaps and overlap),chooses and uses a selection of the same size and type of units to measure an object (without gaps and overlap),decaying_average,65,1,Not Yet Achieved,Achieved
US1.5.1.1,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.5.1.1 - states the qualitive relationship between the size and number of units (i.e. with bigger units you need fewer of them),states the qualitive relationship between the size and number of units (i.e. with bigger units you need fewer of them),decaying_average,65,1,Not Yet Achieved,Achieved
US1.5.1.2,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.5.1.2 - states the qualitive relationship between the size and number of units (i.e. with bigger units you need fewer of them),states the qualitive relationship between the size and number of units (i.e. with bigger units you need fewer of them),decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.2.1.4,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.2.1.4 - objects or fingers remain constantly in view while counting,objects or fingers remain constantly in view while counting,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.2.2.1,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.2.2.1 - objects or fingers remain constantly in view while counting,objects or fingers remain constantly in view while counting,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.3.1.1,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.3.1.1 - visualises concealed items and determines the total by counting from one,visualises concealed items and determines the total by counting from one,decaying_average,65,1,Not Yet Achieved,Achieved
