vendor_guid,outcome_group_vendor_guid,parent_outcome_group_vendor_guid,title,description,calculation_method,calculation_int,mastery_points,0,1
CRT2.6,Cluster 2 - Reading Texts,Reading Texts,CRT2.6,"Reads some high frequency words correctly in simple, predictable texts, e.g. my, I.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT2.7,Cluster 2 - Reading Texts,Reading Texts,CRT2.7,Begins to read with fluency and rhythm when text and image placement are consistent,decaying_average,65,1,Not Yet Achieved,Achieved
CRT3.1,Cluster 3 - Reading Texts,Reading Texts,CRT3.1,Reads one or more sentences correctly in environmental print/texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT3.2,Cluster 3 - Reading Texts,Reading Texts,CRT3.2,Reads one or more sentences correctly in a simple book.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT3.3,Cluster 3 - Reading Texts,Reading Texts,CRT3.3,Uses context to predict meaning in texts and supplement decoding attempts.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT3.4,Cluster 3 - Reading Texts,Reading Texts,CRT3.4,Reads words using known letter/sound relationships.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT3.5,Cluster 3 - Reading Texts,Reading Texts,CRT3.5,"Reads a number of ""easy""texts with an increasing number of high frequency words and illustrations that provide high support.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT3.6,Cluster 3 - Reading Texts,Reading Texts,CRT3.6,Begins to develop fluency and understanding by revisiting familiar texts,decaying_average,65,1,Not Yet Achieved,Achieved
CRT4.1,Cluster 4 - Reading Texts,Reading Texts,CRT4.1,Reads all or most of a more challenging story book,decaying_average,65,1,Not Yet Achieved,Achieved
CRT4.2,Cluster 4 - Reading Texts,Reading Texts,CRT4.2,Maintains fluency when reading texts with varied and irregular text and image placement.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT4.3,Cluster 4 - Reading Texts,Reading Texts,CRT4.3,Pauses or hesitates when meaning is disrupted when reading.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT4.4,Cluster 4 - Reading Texts,Reading Texts,CRT4.4,"Reads aloud with increasingly appropriate pitch, intonation and fluency (RR level 5-8).",decaying_average,65,1,Not Yet Achieved,Achieved
CRT5.1,Cluster 5 - Reading Texts,Reading Texts,CRT5.1,Reads texts with varied sentence patterns and several lines of text per page.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT5.2,Cluster 5 - Reading Texts,Reading Texts,CRT5.2,Demonstrates increased fluency by recognising and decoding words automatically when reading familiar texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT5.3,Cluster 5 - Reading Texts,Reading Texts,CRT5.3,Recognises when meaning is disrupted and attempts to self-correct when reading.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT5.4,Cluster 5 - Reading Texts,Reading Texts,CRT5.4,Reads fluently and accurately with attention to punctuation.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT5.5,Cluster 5 - Reading Texts,Reading Texts,CRT5.5,"Understands that pathways for reading literary and factual, print and screen texts can be navigated in different ways.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT5.6,Cluster 5 - Reading Texts,Reading Texts,CRT5.6,"Self-corrects when meaning is disrupted, e.g. by pausing, repeating words and phrases, rereading and reading on.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT5.7,Cluster 5 - Reading Texts,Reading Texts,CRT5.7,"Reads aloud with fluency and phrasing, adjusting pace, volume, pitch and pronunciation to enhance meaning and expression (RR level 16-18).",decaying_average,65,1,Not Yet Achieved,Achieved
CRT6.1,Cluster 6 - Reading Texts,Reading Texts,CRT6.1,"Understands text features such as illustrations, diagrams, tables, maps and graphs to enhance meaning.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT6.2,Cluster 6 - Reading Texts,Reading Texts,CRT6.2,"Automatically integrates a range of information, e.g. meaning, grammar and letter/sound relationships to read in a phrased and fluent way.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT6.3,Cluster 6 - Reading Texts,Reading Texts,CRT6.3,"Knows that literary, factual and screen texts need to be ""read""in differing ways.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT6.4,Cluster 6 - Reading Texts,Reading Texts,CRT6.4,Responds to punctuation and adjusts expression to enhance meaning when reading aloud.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT7.1,Cluster 7 - Reading Texts,Reading Texts,CRT7.1,Reads increasingly complex texts with less familiar content and vocabulary and more extended descriptions.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT7.2,Cluster 7 - Reading Texts,Reading Texts,CRT7.2,Engages with both literary and factual texts of increasing length and difficulty for longer periods of time (at least 10 minutes).,decaying_average,65,1,Not Yet Achieved,Achieved
CRT7.3,Cluster 7 - Reading Texts,Reading Texts,CRT7.3,Reads texts in different ways to meet a range of reading purposes.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT7.4,Cluster 7 - Reading Texts,Reading Texts,CRT7.4,Independently monitors own reading by using a variety of self-correction strategies to maintain meaning.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT8.1,Cluster 8 - Reading Texts,Reading Texts,CRT8.1,"Reads for sustained periods (15-20 minutes) and sustains understanding in longer texts over time, e.g. reading short novels over several days.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT8.2,Cluster 8 - Reading Texts,Reading Texts,CRT8.2,"Uses visual representations, e.g. photographs, tables, charts to enhance meaning when reading factual texts.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT8.3,Cluster 8 - Reading Texts,Reading Texts,CRT8.3,Selects and uses the most effective word identification strategy to maintain fluency and meaning.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT8.4,Cluster 8 - Reading Texts,Reading Texts,CRT8.4,Demonstrates an awareness of how to use skimming/scanning and text features such as subheadings to locate specific information.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT8.5,Cluster 8 - Reading Texts,Reading Texts,CRT8.5,Uses screen navigation features when reading and viewing Internet texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT9.1,Cluster 9 - Reading Texts,Reading Texts,CRT9.1,"Reads for sustained periods (15-20 minutes) and sustains understanding in longer texts over time, e.g. reading short novels over several days.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT9.2,Cluster 9 - Reading Texts,Reading Texts,CRT9.2,"Uses visual representations, e.g. photographs, tables, charts to enhance meaning when reading factual texts.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT9.3,Cluster 9 - Reading Texts,Reading Texts,CRT9.3,Selects and uses the most effective word identification strategy to maintain fluency and meaning.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT9.4,Cluster 9 - Reading Texts,Reading Texts,CRT9.4,Demonstrates an awareness of how to use skimming/scanning and text features such as subheadings to locate specific information.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT9.5,Cluster 9 - Reading Texts,Reading Texts,CRT9.5,Uses screen navigation features when reading and viewing Internet texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW1.1,Cluster 9 - Aspects of Writing,Aspects of Writing,CAW1.1,Engages in writing-like behaviour using scribble or strings of letters.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW1.2,Cluster 9 - Aspects of Writing,Aspects of Writing,CAW1.2,"Attempts to write own name, e.g. one or two letters, scribble.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW1.3,Cluster 9 - Aspects of Writing,Aspects of Writing,CAW1.3,Holds a pencil or crayon effectively to draw and scribble.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.1,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.1,"Draws ideas from personal experiences, other texts and research to create imaginative, informative and persuasive texts for different audiences.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.2,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.2,Shows awareness of the need to justify opinions with supporting evidence.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.3,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.3,Locates resources and accesses information when planning.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.4,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.4,"Rereads and revises text to check and improve meaning, deleting unnecessary information or adding new information.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.5,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.5,"Creates meaningful sentences using a variety of sentence beginnings, including adverbial and adjectival clauses to create complex sentences.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.6,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.6,Uses sentence and simple punctuation correctly.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.7,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.7,"Uses morphemic, visual, phonic knowledge and knowledge of prefixes and suffixes to spell and edit words.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.8,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.8,"Uses grammatical features such as pronouns, conjunctions and connectives to accurately link ideas and information.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW10.9,Cluster 10 - Aspects of Writing,Aspects of Writing,CAW10.9,Consolidates handwriting that is consistent in form.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.1,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.1,"Writes coherent, structured texts for a range of purposes and contexts.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.10,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.10,"Uses word processing programs confidently and accurately, integrating various functions.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.11,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.11,Plans and designs more complex multimodal texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.2,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.2,"Deliberately structures language in a way that creates more cohesive imaginative, informative and persuasive texts.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.3,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.3,Shows awareness of accurately acknowledging sources in relevant texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.4,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.4,Refines writing in response to feedback.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.5,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.5,"Selects appropriate language for purpose, e.g. descriptive, persuasive, topic, technical, evaluative, emotive, and colloquial.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.6,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.6,Uses topic sentences and appropriately organises main and subordinate ideas.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.7,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.7,Experiments with using complex punctuation to engage the reader and achieve purpose.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.8,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.8,"Applies knowledge of generalisations, meanings of base words and word parts (prefixes and suffixes) to spell new words",decaying_average,65,1,Not Yet Achieved,Achieved
CAW11.9,Cluster 11 - Aspects of Writing,Aspects of Writing,CAW11.9,"Writes fluently with appropriate size, slope and spacing.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.1,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.1,Writes sustained texts for a wide range of purposes.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.2,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.2,"Makes choices about the type and form of texts, including combinations of forms and types, to suit purpose and audience.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.3,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.3,"Creates well planned, extended texts that include more complex and detailed subject matter and language features such as nominalisation.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.4,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.4,"Critically reflects on effectiveness of own/ others""writing and seeks and responds to feedback from others.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.5,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.5,"Selects some sophisticated and subtle language features, literary devices (e.g. irony, humour) and grammatical features (e.g. modality) to engage and influence an audience.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.6,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.6,Makes sentence level choices (e.g. short sentences to build tension; complex sentences to add detail) using a variety of sentence beginnings and dependent clauses.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.7,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.7,"Uses a range of punctuation to enhance meaning and clarity, including the use of brackets to enclose additional information, quotation marks and commas to indicate clauses.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.8,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.8,"Integrates a range of spelling strategies and conventions to accurately spell most words, including words of many syllables.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW12.9,Cluster 12 - Aspects of Writing,Aspects of Writing,CAW12.9,"Uses visuals to extend or clarify meaning, selects from a range of media and experiments creatively with the production of multimodal texts for audience impact.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.1,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.1,"Creates well structured and sequenced texts for imaginative, informative and persuasive purposes.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.10,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.10,"Uses a legible, fluent handwriting style",decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.2,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.2,Chooses aspects and combinations of texts to suit particular purposes and audiences.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.3,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.3,Creates and develops ideas to explore a concept or theme.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.4,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.4,Uses paragraphing to structure information and partition events and ideas.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.5,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.5,Intentionally constructs a variety of sentence types including complex sentences for effect.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.6,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.6,"Creates texts with appropriate design, layout and graphics.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.7,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.7,Self-regulates spelling and applies spelling knowledge and strategies to spell complex and subject specific vocabulary.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.8,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.8,Uses correct and appropriate punctuation to support meaning.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW13.9,Cluster 13 - Aspects of Writing,Aspects of Writing,CAW13.9,Uses a range of editing strategies to improve clarity and consistency of style.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.1,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.1,"Creates texts that incorporate substantial, elaborated ideas and themes.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.10,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.10,Correctly references resources.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.2,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.2,"Uses, monitors and reflects on planning strategies to enhance the effectiveness of a text.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.3,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.3,"Tailors writing in response to audience, purpose and context.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.4,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.4,Identifies and explores different perspectives and points of view.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.5,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.5,Demonstrates coherency by using a variety of devices that support readers to link ideas and establish relationships.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.6,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.6,Selects sophisticated grammatical structures to enhance quality of writing.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.7,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.7,Creates and manipulates texts that integrate different modes.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.8,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.8,Makes deliberate language choices for greater precision and technicality.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW14.9,Cluster 14 - Aspects of Writing,Aspects of Writing,CAW14.9,Uses a range of complex punctuation to support clarity and precision of meaning.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW15.1,Cluster 15 - Aspects of Writing,Aspects of Writing,CAW15.1,"Creates a range of coherent texts for imaginative, informative and persuasive purposes.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW15.2,Cluster 15 - Aspects of Writing,Aspects of Writing,CAW15.2,Explores challenging ideas and ethical dilemmas.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW15.3,Cluster 15 - Aspects of Writing,Aspects of Writing,CAW15.3,Uses sophisticated grammatical features to express complex ideas and concepts.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW15.4,Cluster 15 - Aspects of Writing,Aspects of Writing,CAW15.4,"Constructs texts that have a variety of well developed, effective sentences for clarity and coherence",decaying_average,65,1,Not Yet Achieved,Achieved
CAW15.5,Cluster 15 - Aspects of Writing,Aspects of Writing,CAW15.5,Manipulates language features and structures to suit context.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW15.6,Cluster 15 - Aspects of Writing,Aspects of Writing,CAW15.6,Applies knowledge of word origins to spell unknown words.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW15.7,Cluster 15 - Aspects of Writing,Aspects of Writing,CAW15.7,Uses complex punctuation strategically for effect.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW15.8,Cluster 15 - Aspects of Writing,Aspects of Writing,CAW15.8,"Efficiently revises, edits and proofreads texts to enhance accuracy and quality",decaying_average,65,1,Not Yet Achieved,Achieved
CAW16.1,Cluster 16 - Aspects of Writing,Aspects of Writing,CAW16.1,"Creates sustained texts that develop complex themes, concepts and ideas.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW16.2,Cluster 16 - Aspects of Writing,Aspects of Writing,CAW16.2,Adapts and innovates on familiar text forms to create distinctive texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW16.3,Cluster 16 - Aspects of Writing,Aspects of Writing,CAW16.3,Constructs considered arguments that explore and analyse a range of different perspectives on complex and challenging topics,decaying_average,65,1,Not Yet Achieved,Achieved
CAW16.4,Cluster 16 - Aspects of Writing,Aspects of Writing,CAW16.4,Strategically selects from a range of resources to create multimodal texts that incorporate sophisticated design features.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW16.5,Cluster 16 - Aspects of Writing,Aspects of Writing,CAW16.5,Demonstrates control of sophisticated language features and structures.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW16.6,Cluster 16 - Aspects of Writing,Aspects of Writing,CAW16.6,Cites references using conventions appropriate for purpose.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW2.1,Cluster 2 - Aspects of Writing,Aspects of Writing,CAW2.1,Clear attempt to write name (may not be correct spelling).,decaying_average,65,1,Not Yet Achieved,Achieved
CAW2.2,Cluster 2 - Aspects of Writing,Aspects of Writing,CAW2.2,Writes at least one recognisable word (may not be spelled correctly) related to a story book read to them or a picture they have drawn.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW2.3,Cluster 2 - Aspects of Writing,Aspects of Writing,CAW2.3,"""Writes""from left to right and leaves spaces between words.",decaying_average,65,1,Not Yet Achieved,Achieved
CAW2.4,Cluster 2 - Aspects of Writing,Aspects of Writing,CAW2.4,Attempts to form some letters,decaying_average,65,1,Not Yet Achieved,Achieved
CAW2.5,Cluster 2 - Aspects of Writing,Aspects of Writing,CAW2.5,"Talks about intended ""writing""before attempting to ""write"".",decaying_average,65,1,Not Yet Achieved,Achieved
CAW2.6,Cluster 2 - Aspects of Writing,Aspects of Writing,CAW2.6,Talks about own writing and drawing.,decaying_average,65,1,Not Yet Achieved,Achieved
CAW2.7,Cluster 2 - Aspects of Writing,Aspects of Writing,CAW2.7,Experiments with computer mouse and keyboard.,decaying_average,65,1,Not Yet Achieved,Achieved
